Username,Totalstars,Totalforks,Totalpullrequest,Totalcommits
mojombo,10284,2292,71,0
defunkt,8662,1548,12,0
pjhyett,609,138,2,0
wycats,812,97,8,4
ezmobius,1571,200,5,0
ivey,83,15,1,1
evanphx,1920,139,6,4
vanpelt,133,44,43,8
wayneeseguin,316,86,2,39
brynary,201,38,0,11
kevinclark,174,51,2,1
technoweenie,2383,640,20,0
macournoyer,1064,401,6,0
takeo,42,21,1,0
caged,70,14,15,0
topfunky,2024,411,7,0
anotherjesse,55,39,4,13
roland,6,2,1,1
lukas,2609,1302,9,5
fanvsfan,0,0,0,0
tomtt,147,69,0,0
railsjitsu,0,0,0,0
nitay,2,3,0,0
kevwil,107,31,0,22
KirinDave,406,251,4,0
jamesgolick,1168,211,6,0
atmos,1923,468,10,0
errfree,4,0,0,0
mojodna,65,19,0,0
bmizerany,310,103,6,17
jnewland,232,75,20,19
joshknowles,233,65,1,0
hornbeck,58,44,0,0
jwhitmire,32,31,0,0
elbowdonkey,160,25,1,0
reinh,31,7,0,0
knzai,57,9,0,31
bs,40,30,3,0
rsanheim,170,36,10,16
schacon,522,2131,44,35
uggedal,53,26,0,2
bruce,116,99,1,0
sam,42,244,2,0
mmower,135,23,3,7
abhay,227,241,1,11
rabble,22,5,26,12
benburkert,195,34,0,72
indirect,63,10,2,45
fearoffish,50,6,66,24
ry,683,54,0,0
engineyard,71,79,16,0
jsierles,157,35,0,51
tweibley,8,2,0,0
peimei,18,17,5,0
brixen,23,9,0,41
tmornini,44,5,3,0
outerim,16,4,0,0
daksis,0,23,0,0
sr,113,37,4,0
lifo,1749,158,2,0
rsl,122,11,1,0
imownbey,87,21,0,6
dylanegan,49,18,1,0
jm,315,40,2,1
kmarsh,48,11,0,6
jvantuyl,69,10,0,8
BrianTheCoder,55,11,0,0
freeformz,29,4,0,0
hassox,164,27,1,40
automatthew,104,21,4,0
queso,18,6,1,0
lancecarlson,132,15,0,0
drnic,305,43,15,9
lukesutton,3,1,1,0
danwrong,2705,518,32,0
HamptonMakes,55,6,0,23
jfrost,1,3,0,0
mattetti,349,55,1,12
ctennis,36,23,2,1
lawrencepit,182,116,3,0
marcjeanson,9,6,1,0
grempe,1465,318,46,0
peterc,1281,160,6,0
ministrycentered,38,4,0,0
afarnham,7,6,0,0
up_the_irons,137,58,2,2
cristibalan,514,58,2,0
heavysixer,521,64,2,0
brosner,300,140,5,10
danielmorrison,42,8,7,19
danielharan,216,53,2,0
kvnsmth,40,9,0,0
collectiveidea,6377,1341,48,13
canadaduane,141,22,27,23
corasaurus-hex,48,9,5,29
dstrelau,6,0,0,10
sunny,843,59,0,24
dkubb,1749,123,26,0
jnicklas,228,39,8,11
richcollins,34,13,2,1
simonjefford,20,3,2,3
josh,1996,152,0,43
stevedekorte,1413,173,1,26
leahneukirchen,520,73,5,31
jwreagor,81,10,0,0
technomancy,3692,1028,0,25
kenphused,0,0,0,0
rubyist,1243,134,9,0
ogc,3,1,0,0
lazyatom,370,63,1,1
jdhuntington,18,2,26,39
nwebb,0,0,0,0
nsutton,0,0,0,0
sevenwire,864,137,4,0
brandonarbini,14,1,0,0
al3x,392,70,1,0
toolmantim,685,35,30,42
nicksieger,40,6,0,30
jicksta,224,44,0,0
joshsusser,425,43,4,0
jcrosby,497,59,0,0
thewoolleyman,32,5,5,0
technicalpickles,76,29,0,43
halbtuerke,48,9,0,0
ryanb,15156,2558,70,5
cnix,28,6,0,17
tpitale,730,117,9,40
cdcarter,67,19,0,0
atduskgreg,114,34,0,0
heff,14,10,0,7
entryway,11,2,5,0
aflatter,134,100,0,0
schofield,2,0,0,2
rbazinet,1,1,1,0
tranqy,29,4,0,0
robey,0,0,0,0
bkeepers,6746,515,13,10
wilson,29,10,1,0
tommorris,34,16,7,116
charlesroper,17,8,0,4
adamwiggins,1295,944,10,18
myobie,26,7,0,1
samgranieri,30,3,0,9
adam,22,5,0,0
mtodd,156,15,1,0
timcharper,546,223,4,0
paul,72,19,5,34
DocSavage,356,97,0,15
shane,7,3,1,0
vlucas,2080,291,6,16
nex3,60,9,3,12
max-xx,0,0,0,0
norbauer,155,32,2,0
crigor,27,20,12,0
knowtheory,57,2,0,3
bernerdschaefer,415,64,4,0
zapnap,57,20,0,1
testdude,0,0,0,0
galinv,0,0,0,0
NZKoz,457,2294,1,0
croaky,333,32,6,15
jeremy,46,16,0,4
ELLIOTTCABLE,143,19,20,19
monde,86,14,7,9
ryanbriones,85,20,0,0
wfarr,40,32,2,11
jseifer,67,33,1,0
symlink,0,0,0,4
sprsquish,19,4,0,6
codahale,376,50,1,22
zackchandler,110,33,0,0
jakehow,107,15,0,0
evan,974,200,8,0
olleolleolle,7,2,0,5
chrismcg,34,9,0,62
chuyeow,78,27,1,0
mloughran,827,141,6,24
matthewford,18,3,1,15
henrik,146,15,7,22
tkersey,103,11,1,0
acf,0,0,0,0
dan,21,4,0,0
seebq,32,12,3,0
delynn,20,0,0,0
spicycode,316,23,1,28
ntalbott,251,58,1,0
rdempsey,66,41,0,0
mjankowski,0,0,0,51
danahern,12,2,1,0
dctanner,163,18,2,4
alexvollmer,379,109,1,0
RailsAddict,2,0,0,0
scharfie,43,7,4,0
jhardy-deleteme,0,0,0,0
daikini,119,34,1,0
tdreyno,686,102,44,9
ryenski,32,14,0,11
jnunemaker,1668,350,2,15
shayarnett,60,13,0,0
chad,358,54,1,0
superphly,3,4,3,1
swhitt,59,18,2,0
bryanl,29,14,0,0
jschairb,6,5,0,0
adelcambre,36,8,1,1
psi,9,30,2,1
watsonian,70,24,2,5
marcel,847,490,26,0
brapse,27,6,1,0
francois,80,15,0,36
aditya,17,3,0,0
agile,23,2,0,1
itstommymorgan,167,95,8,0
toretore,1016,221,7,0
vangberg,571,88,13,0
jchris,370,156,2,36
gspederson,4,3,0,0
psq,53,20,7,0
andreimaxim,25,18,8,53
robbyrussell,161,74,0,6
kommen,29,4,0,0
protocool,1038,92,3,0
maddox,519,94,2,1
jswanner,844,77,2,12
kastner,90,10,1,5
halorgium,178,17,0,0
merb,295,95,2,0
lachie,56,11,0,0
anildigital,24,21,121,5
cwsaylor,102,22,0,0
pdsphil,20,23,0,0
kamal,61,13,0,45
bleything,207,207,7,0
pergesu,0,0,0,0
caplis,1,1,0,0
jqr,767,146,14,4
mattslack,19,1,0,0
tjogin,2,0,0,0
robbevan,33,7,0,19
marten,20,5,1,2
gnufied,223,42,1,22
hoverbird,92,13,1,0
beccasaurus,33,7,1,0
joshuamckenty,25,17,0,0
dfl,119,15,4,0
floydprice,11,3,17,0
allison-lara,6,1,0,0
activestylus,237,21,0,0
archfear,29,28,2,0
mudge,75,14,0,16
johnny,1537,447,7,12
scott-steadman,30,4,0,26
noteflakes,2012,115,1,53
doudou,20,10,1,13
david,35,130,0,98
pedromg,22,149,0,0
wayne,0,0,0,0
Steve,37,21,1,0
mark,122,19,1,2
ambethia,43,10,30,4
halfbyte,70,14,9,0
cannikin,71,9,14,6
anthonylewis,30,14,0,0
mcornick,12,8,3,26
itfische,14,0,0,0
ivoencarnacao,0,0,0,0
mcg,11,0,0,29
sco,119,14,1,0
norio,6,1,0,0
anttih,90,8,0,12
vintrepid,0,0,0,0
bigfleet,89,18,5,5
lypanov,23,7,0,18
ropiku,10,0,0,0
rds,18,7,0,0
zmoazeni,3441,279,1,0
edwinmoss,68,66,0,0
tomfarm,0,1,0,29
TheNicholasNick,4,40,0,0
bumi,40,9,14,9
dag,210,37,5,0
ruckus,1071,525,14,3
mlins,34,8,0,6
luke,0,0,0,0
labria,68,6,0,6
raymorgan,7,3,1,0
edward,51,9,2,0
dsiem,3,3,0,0
talaris,7,4,0,0
jrun,70,53,0,0
chris,240,51,1,0
thejohnny,9,5,1,6
vic,140,20,2,4
thelibrarian,5,2,0,0
harukizaemon,0,0,0,0
ttcremers,10,1,0,0
bitbckt,21,3,0,0
brupm,46,0,2,0
v3rb0,1,0,0,0
hchoroomi,20,3,0,0
igouss,15,6,0,0
jamesmacaulay,494,33,5,0
jacobeus,45,6,0,0
djd,0,0,0,12
octave,0,1,0,0
damon,20,4,0,0
sbusso,32,1,11,5
tobi,3521,1410,13,10
raggi,558,67,0,2
tooky,8,20,5,18
aurelian,315,35,0,2
cnantais,0,0,0,0
gthoppae,0,0,0,0
lukemelia,35,10,16,53
